Link,Comment ID,Time,Username,raw_content of comment,cleaned,length,informality,swear,politeness,numeric politeness,algorithm's confidence
https://twitter.com/NASA/status/961734592536481792,'962057693245595649,9/2/18 20:16,Halfsharkaligatorhalfman,@NASA @NASANewHorizons Cool,Cool,4,100,0,neutral,0,97%
https://twitter.com/NASA/status/961989791104585730,'962015158917783552,9/2/18 17:27,ichiQwerty ?,@NASA @Space_Station LAST,LAST,4,0,0,impolite,-1,67%
https://twitter.com/NASA/status/962431306419359751,'962628847693942784,11/2/18 10:06,Harry immaneual,@NASA @Space_Station Nice,Nice,4,0,0,neutral,0,97%
https://twitter.com/NASA/status/962431306419359751,'962879367142690816,12/2/18 02:41,danielgill?,@NASA @Space_Station Nice,Nice,4,0,0,neutral,0,97%
https://twitter.com/NASA/status/963534031886438400,'963607204803653632,14/2/18 02:53,quitting starting,@NASA @NASAEarth sigh,sigh,4,100,0,impolite,-1,67%
https://twitter.com/NASA/status/965380665205239811,'965605485306175488,19/2/18 15:14,ahmed,@NASA @NASAHubble Nice,Nice,4,0,0,neutral,0,97%
https://twitter.com/NASA/status/968667422713569280,'968749189344743424,28/2/18 07:26,Scrumpy,@OniqueAgnew @NASA @Space_Station Stop,Stop,4,0,0,impolite,-1,67%
https://twitter.com/NASA/status/970332801269673984,'970615124036907008,5/3/18 11:00,Irfan Spirtovic,@NASA @chandraxray Woah,Woah,4,100,0,impolite,-1,67%
https://twitter.com/NASA/status/971577187387297793,'971578229420101632,8/3/18 02:47,Kristina Schwarz,@NASA @NASASun Fuck,Fuck,4,100,100,impolite,-1,78%
https://twitter.com/NASA/status/971577187387297793,'971647363805798400,8/3/18 07:22,somdutt yadav,@NASA @NASASun nice,nice,4,0,0,neutral,0,93%
https://twitter.com/NASA/status/972929158287364101,'972930435977277440,11/3/18 20:21,"Chase J. Passeri (Text ""TRUMP"" to 88022)",@NASA @NASAHubble Cool,Cool,4,100,0,impolite,-1,72%
https://twitter.com/NASA/status/972929158287364101,'973184875833544704,12/3/18 13:12,khawaja garib nawaz welfare trust,@NASA @NASAHubble best,best,4,0,0,neutral,0,92%
https://twitter.com/NASA/status/973363838220455936,'973546648482627584,13/3/18 13:09,Chandra Prakash Sahu,@NASA @Space_Station Nice,Nice,4,0,0,neutral,0,97%
https://twitter.com/NASA/status/975051608391208960,'975057083765870597,17/3/18 17:11,Darrell Cole,@NASA Nice,Nice,4,0,0,neutral,0,97%
https://twitter.com/NASA/status/979527578674515968,'979587705926402048,30/3/18 05:14,Tejas C8,@ChurchillD @NASA True,TRUE,4,0,0,impolite,-1,67%
https://twitter.com/NASA/status/979527578674515968,'979716272656011264,30/3/18 13:45,the goodnight,@NASA cool,cool,4,100,0,neutral,0,97%
https://twitter.com/NASA/status/981200325536309248,'981203364519309313,3/4/18 16:14,Eugene mpofu,@NASA @NASAaero Nice,Nice,4,0,0,neutral,0,97%
https://twitter.com/NASA/status/981200325536309248,'981222571004788736,3/4/18 17:31,Jordyyn___Lov3,@NASA @NASAaero Cool,Cool,4,100,0,neutral,0,97%
https://twitter.com/NASA/status/981200325536309248,'981237580749557760,3/4/18 18:30,David M Freeman,@NASA @NASAaero Nice,Nice,4,0,0,neutral,0,97%
https://twitter.com/NASA/status/982022072502247425,'982023512721412096,5/4/18 22:33,Casper - FREEDOM OF SPEECH - WE ARE ALL REV STU.,@NASA @HiRISE Wind,Wind,4,0,0,impolite,-1,67%
https://twitter.com/NASA/status/982022072502247425,'982028566966644736,5/4/18 22:53,chief joe500,@NASA @HiRISE Time,Time,4,0,0,impolite,-1,67%
https://twitter.com/NASA/status/982022072502247425,'982032812965539841,5/4/18 23:10,Patti Magnus ??,@NASA @HiRISE Wind,Wind,4,0,0,impolite,-1,67%
https://twitter.com/NASA/status/982022072502247425,'982034368918183936,5/4/18 23:16,Mankee,@NASA @HiRISE wind,wind,4,0,0,neutral,0,98%
https://twitter.com/NASA/status/982786043882721280,'982787250105831424,8/4/18 01:08,Zack Bierline,@NASA @alex_bowen bruh,bruh,4,100,0,impolite,-1,67%
https://twitter.com/NASA/status/982786043882721280,'982909039431610368,8/4/18 09:12,Madhav,@NASA Done,Done,4,0,0,impolite,-1,67%
https://twitter.com/NASA/status/982786043882721280,'983221204738719745,9/4/18 05:52,Sumathy Kumar,@NASA Done https://t.co/wd5JaYrqjP,Done,4,0,0,impolite,-1,67%
https://twitter.com/NASA/status/983090196496384000,'983217943709343744,9/4/18 05:39,rajib hasan,@NASA @nasaorion Goog,Goog,4,0,0,impolite,-1,67%
https://twitter.com/NASA/status/983090196496384000,'984734136572067840,13/4/18 10:04,tymon42,@NASA @nasaorion cool,cool,4,100,0,neutral,0,97%
https://twitter.com/NASA/status/984231926176407552,'984391404725006338,12/4/18 11:22,Harisankar Nayak,@NASA @NASASun Scam,Scam,4,0,0,impolite,-1,78%
https://twitter.com/NASA/status/988074481989177344,'988245844167028736,23/4/18 02:39,Dhananjay,@NASA Nice,Nice,4,0,0,neutral,0,97%
https://twitter.com/NASA/status/988201538681278465,'988282868433485824,23/4/18 05:06,LiaoDaxiong,@NASA good,good,4,0,0,polite,1,65%
https://twitter.com/NASA/status/988201538681278465,'988584974684127239,24/4/18 01:06,RudoDuro,@CJ_The_Grea @zananeichan @zebovv @NASA fake,fake,4,0,0,impolite,-1,78%
https://twitter.com/NASA/status/988913479636668416,'988917229797470208,24/4/18 23:06,zora,@NASA bruh,bruh,4,100,0,impolite,-1,67%
https://twitter.com/NASA/status/988913479636668416,'989037548512202753,25/4/18 07:05,Anthony O,@NASA same @NASA,same,4,0,0,impolite,-1,67%
https://twitter.com/NASA/status/989874397849714688,'989876741668618242,27/4/18 14:39,Aakash,@NASA @NASASun Done,Done,4,0,0,impolite,-1,67%
https://twitter.com/NASA/status/989960657402462208,'990125400134242305,28/4/18 07:07,Maher Salman,@NASA Done https://t.co/hQNBHcNINJ,Done,4,0,0,impolite,-1,67%
https://twitter.com/NASA/status/959194207574347776,'959210000630493185,1/2/18 23:41,Peter Lorber,@Schenck @RobertAslin2 @AlSultan_Meriam @NASA @NASA_SLS Wrong,Wrong,5,0,0,impolite,-1,78%
https://twitter.com/NASA/status/959615427709161473,'959630873841713152,3/2/18 03:33,Ken Klocke,@NASA Sick!,Sick!,5,0,0,impolite,-1,71%
https://twitter.com/NASA/status/959615427709161473,'959811145279463424,3/2/18 15:29,teresa derenzo,@NASA Neat.,Neat.,5,0,0,neutral,0,97%
https://twitter.com/NASA/status/959615427709161473,'959814441276669958,3/2/18 15:42,Nerd_#D137.,@ice0fox @realjuliemallen @NASA Very!,Very!,5,0,0,neutral,0,92%
https://twitter.com/NASA/status/959615427709161473,'959850879867236354,3/2/18 18:07,Salim m Khan,@psycholexiiee @imcrystalangeli Hello,Hello,5,0,0,neutral,0,100%
https://twitter.com/NASA/status/960197286922981376,'960198750214832128,4/2/18 17:09,Keshu Parmar?,@NASA Great,Great,5,0,0,neutral,0,97%
https://twitter.com/NASA/status/960584862645317632,'960585413290283008,5/2/18 18:46,"Zaphod Beeblebrox, Galactic President",@NASA Dibs.,Dibs.,5,0,0,neutral,0,91%
https://twitter.com/NASA/status/960997280336707584,'960997737394089984,6/2/18 22:04,MAXIMUS,@NASA @SpaceX Word.,Word.,5,0,0,neutral,0,91%
https://twitter.com/NASA/status/961379299193442304,'961397815590248448,8/2/18 00:34,Jeff Weiss,@NASA Rain?,Rain?,5,0,0,impolite,-1,67%
https://twitter.com/NASA/status/961379299193442304,'961504492335370240,8/2/18 07:38,AngryMerkas,@tomandsteveshow @NASA What?,What?,5,0,0,impolite,-1,74%
https://twitter.com/NASA/status/961734592536481792,'961737457669681152,8/2/18 23:04,Kenny,@NASA @NASANewHorizons Sweet,Sweet,5,0,0,impolite,-1,61%
https://twitter.com/NASA/status/961989791104585730,'962084039619371008,9/2/18 22:01,R.P.kumar,@NASA @Space_Station enjoy,enjoy,5,0,0,impolite,-1,61%
https://twitter.com/NASA/status/963116779613704194,'963117335694454784,12/2/18 18:27,daniel,@NASA Sweet,Sweet,5,0,0,impolite,-1,61%
https://twitter.com/NASA/status/963116779613704194,'963117622517579776,12/2/18 18:28,Alloja03,@NASA Nice.,Nice.,5,0,0,polite,1,61%
https://twitter.com/NASA/status/963116779613704194,'963138953682522112,12/2/18 19:53,In Poor Taste ?,@tomandsteveshow @NASA Stop.,Stop.,5,0,0,neutral,0,91%
https://twitter.com/NASA/status/963116779613704194,'963245833738047488,13/2/18 02:57,Sonam Raj,@NASA Great,Great,5,0,0,neutral,0,97%
https://twitter.com/NASA/status/965380665205239811,'965383325706850305,19/2/18 00:31,AH-64 Apache Attack Helicopter,@NASA @NASAHubble Woah.,Woah.,5,100,0,neutral,0,91%
https://twitter.com/NASA/status/968667422713569280,'968684791620079616,28/2/18 03:10,Colleen-innocent but locked out of tweeties,@NASA @Space_Station Neat!,Neat!,5,0,0,neutral,0,99%
https://twitter.com/NASA/status/970332801269673984,'970477477695909888,5/3/18 01:53,U Praveen Kumar,@NASA @chandraxray Super,Super,5,0,0,impolite,-1,61%
https://twitter.com/NASA/status/971577187387297793,'971606871973928960,8/3/18 04:41,lAlanGamerl,@NASA @NASASun Whats,Whats,5,0,0,impolite,-1,67%
https://twitter.com/NASA/status/971577187387297793,'971677553239908352,8/3/18 09:22,pankaj,@NASA @NASASun Great,Great,5,0,0,neutral,0,97%
https://twitter.com/NASA/status/971577187387297793,'971677469810900992,8/3/18 09:22,pankaj,@NASA @Gayatri__J @NASASun Great,Great,5,0,0,neutral,0,97%
https://twitter.com/NASA/status/971577187387297793,'971733588252286976,8/3/18 13:05,doggo doot,@talal_07_0 @NASA @NASASun Round,Round,5,0,0,impolite,-1,67%
https://twitter.com/NASA/status/972141465467015168,'972298243194458112,10/3/18 02:29,Roberto Qui?ones Rivera,@NASA @NASAMoon good!,good!,5,0,0,polite,1,74%
https://twitter.com/NASA/status/973363838220455936,'973372062386606080,13/3/18 01:35,me,@NASA @Space_Station Sweet,Sweet,5,0,0,impolite,-1,61%
https://twitter.com/NASA/status/973941326785007616,'973941793820733441,14/3/18 15:19,diego,@NASA Nigga https://t.co/45dIipqHg0,Nigga,5,100,100,impolite,-1,67%
https://twitter.com/NASA/status/975051608391208960,'975226887717863424,18/3/18 04:26,yessita,@NASA @iamscicomm this!,this!,5,0,0,neutral,0,92%
https://twitter.com/NASA/status/976254098428301312,'982182632711598080,6/4/18 09:06,olga awuni,@NASA @Space_Station Great,Great,5,0,0,neutral,0,97%
https://twitter.com/NASA/status/978771903610523648,'978774884439470086,27/3/18 23:24,Bret,@NASA @playlikeajet24 bruh.,bruh.,5,100,0,neutral,0,91%
https://twitter.com/NASA/status/979106287177863168,'979355007224074242,29/3/18 13:50,Nodrog sniggih,@NASA @NASAHubble Cool?,Cool?,5,100,0,neutral,0,97%
https://twitter.com/NASA/status/979527578674515968,'979528408345600000,30/3/18 01:19,@realFernandoAlaniz,@NASA Nice!,Nice!,5,0,0,polite,1,63%
https://twitter.com/NASA/status/979527578674515968,'979582109160476672,30/3/18 04:52,Katwomen,@NASA @SSDavidT Cathe,Cathe,5,0,0,impolite,-1,67%
https://twitter.com/NASA/status/979527578674515968,'979622134707359744,30/3/18 07:31,Adriana Papaleo,@NASA Heart,Heart,5,0,0,impolite,-1,67%
https://twitter.com/NASA/status/979527578674515968,'979685015511552000,30/3/18 11:41,Roberto Qui?ones Rivera,@NASA good!,good!,5,0,0,polite,1,74%
https://twitter.com/NASA/status/980223976923377664,'980224443426451456,31/3/18 23:24,terry boutilier,@NASA @NASAHubble Cool?,Cool?,5,100,0,neutral,0,97%
https://twitter.com/NASA/status/980556156878950401,'980695504257339392,2/4/18 06:36,saurabh,@NASA @SpaceX @Space_Station Great,Great,5,0,0,neutral,0,97%
https://twitter.com/NASA/status/982022072502247425,'982022269080821760,5/4/18 22:28,Raja King,@NASA @HiRISE Water,Water,5,0,0,impolite,-1,67%
https://twitter.com/NASA/status/982022072502247425,'982030239755747329,5/4/18 23:00,Parminder S Sandhu,@NASA @HiRISE Water,Water,5,0,0,impolite,-1,67%
https://twitter.com/NASA/status/982022072502247425,'982032034041356288,5/4/18 23:07,Αλ?ξιο?    Καξιρα?,@NASA @HiRISE Dust?,Dust?,5,0,0,impolite,-1,78%
https://twitter.com/NASA/status/982786043882721280,'982827416488787974,8/4/18 03:48,Dazcoolman,@RempitFpv @NASA what?,what?,5,0,0,impolite,-1,84%
https://twitter.com/NASA/status/982786043882721280,'982967480715853827,8/4/18 13:04,?,@NASA Done! https://t.co/B4EIb4ofpE,Done!,5,0,0,neutral,0,92%
https://twitter.com/NASA/status/983090196496384000,'983154899121786880,9/4/18 01:29,doggo doot,@enrico_pippo @NASA @nasaorion What?,What?,5,0,0,impolite,-1,74%
https://twitter.com/NASA/status/984231926176407552,'984264838703611904,12/4/18 02:59,JJ,@NASA @NASASun Done!,Done!,5,0,0,neutral,0,92%
https://twitter.com/NASA/status/988913479636668416,'988915237503029248,24/4/18 22:59,Bonnie Faye Ford,@NASA Funny,Funny,5,0,0,impolite,-1,78%
https://twitter.com/NASA/status/959194207574347776,'959194828637696003,1/2/18 22:40,FikirAVCISI,@NASA @NASA_SLS nice ?,nice ?,6,0,0,neutral,0,93%
https://twitter.com/NASA/status/959194207574347776,'959197712435511296,1/2/18 22:52,Lai,@NASA @JC_Channel @NASA_SLS Smores @IdalvisS,Smores,6,0,0,impolite,-1,67%
https://twitter.com/NASA/status/959194207574347776,'959308425686540288,2/2/18 06:12,wangbing,@NASA @NASA_SLS lovely,lovely,6,0,0,impolite,-1,61%
https://twitter.com/NASA/status/959194207574347776,'959326379027214336,2/2/18 07:23,吴三桂,@NASA @NASA_SLS lovely,lovely,6,0,0,impolite,-1,61%
https://twitter.com/NASA/status/959615427709161473,'959632072980787201,3/2/18 03:38,Terri Rasmussen,@NASA Beauty,Beauty,6,0,0,impolite,-1,61%
https://twitter.com/NASA/status/960197286922981376,'960199245331447808,4/2/18 17:11,Jolly Good Fellow,@NASA Saved.,Saved.,6,0,0,neutral,0,91%
https://twitter.com/NASA/status/960197286922981376,'960199938708819968,4/2/18 17:14,Hariom Jaiswal,@NASA Thanks,Thanks,6,0,0,polite,1,60%
https://twitter.com/NASA/status/960997280336707584,'964346119554830336,16/2/18 03:50,richard ondrovic,@asshat68 @NASA @akaWorf @SpaceX Oh my!,Oh my!,6,50,0,impolite,-1,61%
https://twitter.com/NASA/status/961379299193442304,'961421398328553474,8/2/18 02:08,Superpowers,@NASA Sparky,Sparky,6,0,0,impolite,-1,67%
https://twitter.com/NASA/status/961989791104585730,'962175495843401728,10/2/18 04:04,Jahid Uddin,@NASA @Space_Station Thanks,Thanks,6,0,0,polite,1,60%
https://twitter.com/NASA/status/963116779613704194,'963124044253065216,12/2/18 18:54,Michael G. Cooper ?? ??,@NASA @NASA_Johnson Great!,Great!,6,0,0,polite,1,63%
https://twitter.com/NASA/status/965380665205239811,'965728619451637761,19/2/18 23:23,Brenda S Thomas,@NASA @NASAHubble Pretty,Pretty,6,0,0,impolite,-1,61%
https://twitter.com/NASA/status/965636737883082752,'965660575605972992,19/2/18 18:53,NickD Support,@NASA Great!,Great!,6,0,0,polite,1,63%
https://twitter.com/NASA/status/965636737883082752,'965684127000244224,19/2/18 20:26,Lima Bean,@andersonsangela @NASA My god,My god,6,0,0,impolite,-1,65%
https://twitter.com/NASA/status/965636737883082752,'965690104374161408,19/2/18 20:50,Nautilus Monk,@NASA Pluto.,Pluto.,6,0,0,neutral,0,91%
https://twitter.com/NASA/status/965636737883082752,'965732744742494211,19/2/18 23:40,????Jeffrey Pryor???,@NASA Thanks,Thanks,6,0,0,polite,1,60%
https://twitter.com/NASA/status/967193906034233344,'967476509912064000,24/2/18 19:09,Fausto Garrido,@deusalucard @NASA Me too,Me too,6,0,0,impolite,-1,65%
https://twitter.com/NASA/status/968667422713569280,'969441330270097411,2/3/18 05:16,Clara Valdes,@NASA @Space_Station Humans,Humans,6,0,0,impolite,-1,67%
https://twitter.com/NASA/status/970075694821789696,'970076223241113600,3/3/18 23:19,Yomomma'smomma,@NASA @NASAEarth @NASA_ICE fuuuck,fuuuck,6,0,0,impolite,-1,67%
https://twitter.com/NASA/status/970332801269673984,'970333557574037504,4/3/18 16:22,Ravi Shetty,@NASA @chandraxray Superb,Superb,6,0,0,impolite,-1,61%
https://twitter.com/NASA/status/970332801269673984,'970462761854689280,5/3/18 00:55,capt caveman,@NASA @chandraxray ? nice,? nice,6,0,0,neutral,0,93%
https://twitter.com/NASA/status/972929158287364101,'973036487552970752,12/3/18 03:22,StarChild,@Jmadden98John cool ?,cool ?,6,100,0,neutral,0,97%
https://twitter.com/NASA/status/972929158287364101,'973282430672044032,12/3/18 19:39,#Handmade #Soap,@NASA @NASAHubble beauty,beauty,6,0,0,impolite,-1,61%
https://twitter.com/NASA/status/973787392590172160,'973791278373785600,14/3/18 05:21,Ankit Kumar Gupta,@NASA @Space_Station So sad,So sad,6,0,0,impolite,-1,83%
https://twitter.com/NASA/status/978771903610523648,'978808275234951168,28/3/18 01:37,Kenton Couch,@NASA Hello!,Hello!,6,0,0,neutral,0,90%
https://twitter.com/NASA/status/979527578674515968,'979527766067396609,30/3/18 01:16,Jennifer Martin,@NASA Okay ?,Okay ?,6,100,0,impolite,-1,67%
https://twitter.com/NASA/status/979527578674515968,'979576316373561344,30/3/18 04:29,MollySan.,@NASA Molly.,Molly.,6,0,0,neutral,0,91%
https://twitter.com/NASA/status/979527578674515968,'979704735145000960,30/3/18 12:59,Jason Guthrie,@NASA Liars!,Liars!,6,0,0,impolite,-1,71%
https://twitter.com/NASA/status/980223976923377664,'980476795760906241,1/4/18 16:07,David M Freeman,@NASA @NASAHubble Check!,Check!,6,0,0,neutral,0,92%
https://twitter.com/NASA/status/982022072502247425,'982022579346079744,5/4/18 22:30,This Username Is A Horcrux,@NASA @HiRISE Wall.e,Wall.e,6,0,0,impolite,-1,67%
https://twitter.com/NASA/status/982022072502247425,'982024180135800833,5/4/18 22:36,R+3,@NASA @HiRISE Dunes?,Dunes?,6,0,0,impolite,-1,67%
https://twitter.com/NASA/status/982022072502247425,'982027093163872256,5/4/18 22:47,Pasta,@NASA @HiRISE Water!,Water!,6,0,0,neutral,0,92%
https://twitter.com/NASA/status/982022072502247425,'982035737435656192,5/4/18 23:22,Jet Jagua 2.0,@NASA @HiRISE mining,mining,6,0,0,impolite,-1,67%
https://twitter.com/NASA/status/982395530268545026,'982406550273871872,6/4/18 23:55,young pip,@NASA @NASAJuno @Brittany_182 lookie,lookie,6,0,0,impolite,-1,67%
https://twitter.com/NASA/status/982395530268545026,'982410789498867712,7/4/18 00:12,TRIBEC,@NASA @NASAJuno Creepy,Creepy,6,0,0,impolite,-1,78%
https://twitter.com/NASA/status/982395530268545026,'982445006278537217,7/4/18 02:28,Love Snow,@NASA @NASAJuno Freaky,Freaky,6,100,100,impolite,-1,67%
https://twitter.com/NASA/status/988913479636668416,'989040556197273603,25/4/18 07:16,Cobosdesign,@NASA @NASA = FaKe,#NAME?,6,0,0,impolite,-1,67%
https://twitter.com/NASA/status/989874397849714688,'989886910482079747,27/4/18 15:20,Vinayak Shenoy,@NASA @NASASun Done ?,Done ?,6,0,0,impolite,-1,67%
https://twitter.com/NASA/status/989874397849714688,'990095392330018817,28/4/18 05:08,Somesh Sharma,@NASA @NASASun Somesh,Somesh,6,0,0,impolite,-1,67%
https://twitter.com/NASA/status/989960657402462208,'989990421597044736,27/4/18 22:11,Nader Bahu ?? (Able),@NASA @CharlesMartinet I’m in https://t.co/U52NPHmq6z,I’m in,6,0,0,impolite,-1,68%
https://twitter.com/NASA/status/989960657402462208,'989995199614119938,27/4/18 22:30,DAVID 生活.,@NASA i'm in https://t.co/RVUFqtVhLy,i'm in,6,0,0,neutral,0,99%
https://twitter.com/NASA/status/959194207574347776,'959196519868985344,1/2/18 22:47,Damian Matthew Eudy,@NASA @NASA_SLS Awesome,Awesome,7,100,0,neutral,0,97%
https://twitter.com/NASA/status/959194207574347776,'959282682822778882,2/2/18 04:29,Christian Galleisky,@NASA @NASA_SLS Wicked!,Wicked!,7,0,0,impolite,-1,71%
https://twitter.com/NASA/status/959615427709161473,'959647881685708803,3/2/18 04:40,surferdog98,@NASA Awesome,Awesome,7,100,0,neutral,0,97%
https://twitter.com/NASA/status/959971272481439744,'959982471277416450,4/2/18 02:50,Lynn lybik,@NASA @NASAHubble Awesome,Awesome,7,100,0,neutral,0,97%
https://twitter.com/NASA/status/960565267242868737,'960572128935411712,5/2/18 17:53,Trio7367run,@NASA @NASASolarSystem @NASASun Amazing,Amazing,7,0,0,impolite,-1,61%
https://twitter.com/NASA/status/960565267242868737,'960601220657369088,5/2/18 19:49,Janice Sylor,@NASA @NASASun Awsome!,Awsome!,7,0,0,neutral,0,99%
https://twitter.com/NASA/status/960565267242868737,'960615081896628224,5/2/18 20:44,Sonam Raj,@Rohit4_4 @NASA @NASASun Thank u,Thank u,7,50,0,polite,1,62%
https://twitter.com/NASA/status/960584862645317632,'960610138473209856,5/2/18 20:24,ちび～ぬ ?天災ぼた,@NASA fake!!!,fake!!!,7,0,0,impolite,-1,71%
https://twitter.com/NASA/status/960584862645317632,'961610420766236672,8/2/18 14:39,Mohamed Zaharan,@NASA Amazing,Amazing,7,0,0,impolite,-1,61%
https://twitter.com/NASA/status/960997280336707584,'961052957864349697,7/2/18 01:44,OP-Wan Kenopi,@NASA @SpaceX Amazing,Amazing,7,0,0,impolite,-1,61%
https://twitter.com/NASA/status/961007009918279680,'961075821627805697,7/2/18 03:15,Jared Hoopingarner,@idk_just_annie @NASA Lucky ?,Lucky ?,7,0,0,impolite,-1,61%
https://twitter.com/NASA/status/961379299193442304,'961380823638446080,7/2/18 23:27,Stancito_,@NASA space X,space X,7,0,0,impolite,-1,69%
https://twitter.com/NASA/status/961379299193442304,'961702412259127298,8/2/18 20:44,Furret's Trains,@NASA Woah!!! https://t.co/6yHpxrcdt7,Woah!!!,7,100,0,neutral,0,92%
https://twitter.com/NASA/status/961734592536481792,'963096282100150272,12/2/18 17:03,Ayush,@NASA Awesome,Awesome,7,100,0,neutral,0,97%
https://twitter.com/NASA/status/961989791104585730,'962233210192179200,10/2/18 07:54,Rizwaan,@NASA @Space_Station Amazing,Amazing,7,0,0,impolite,-1,61%
https://twitter.com/NASA/status/961989791104585730,'962275581189640193,10/2/18 10:42,Aselefech Hailgiorgis Belete,@NASA @Space_Station Amazing,Amazing,7,0,0,impolite,-1,61%
https://twitter.com/NASA/status/963534031886438400,'963711036519002112,14/2/18 09:46,NagalakshmiMG,@UnkindScourge @FraserMacLeod5 @NASA @NASAEarth V true!,V true!,7,0,0,neutral,0,92%
https://twitter.com/NASA/status/963800382618177536,'963803444174905344,14/2/18 15:53,Nadie??????,@NASA hell no,hell no,7,50,50,impolite,-1,81%
https://twitter.com/NASA/status/963800382618177536,'963913443014098944,14/2/18 23:10,Madi,@NASA Im good,Im good,7,0,0,neutral,0,99%
https://twitter.com/NASA/status/965380665205239811,'965387595776741376,19/2/18 00:48,Nancy Entrekin,@NASA @NASAHubble Awesome,Awesome,7,100,0,neutral,0,97%
https://twitter.com/NASA/status/965380665205239811,'965395688719880192,19/2/18 01:20,Sylvia,@NASA @NASAHubble oh～cool,oh～cool,7,100,0,impolite,-1,71%
https://twitter.com/NASA/status/965380665205239811,'965489879076474880,19/2/18 07:34,stone,@NASA @NASAHubble thanks！,thanks！,7,0,0,polite,1,62%
https://twitter.com/NASA/status/965636737883082752,'965644488545796103,19/2/18 17:49,cbt enthusist,@AtChima2002 @NASA Finally,Finally,7,0,0,impolite,-1,67%
https://twitter.com/NASA/status/965636737883082752,'966042318036807680,20/2/18 20:10,Hansraj Mandrawelia (IITM),@NASA Amazing,Amazing,7,0,0,impolite,-1,61%
https://twitter.com/NASA/status/965636737883082752,'971844382356836353,8/3/18 20:25,Sumaira,@NASA Amazing,Amazing,7,0,0,impolite,-1,61%
https://twitter.com/NASA/status/968667422713569280,'968673941362499584,28/2/18 02:27,Marcos Ed ????,@lukmanwayanad @NASA @Space_Station Regards,Regards,7,0,0,impolite,-1,67%
https://twitter.com/NASA/status/968667422713569280,'968681803031736320,28/2/18 02:58,Denise Nichols,@RMSBeagle @NASA @Space_Station So cool,So cool,7,50,0,impolite,-1,68%
https://twitter.com/NASA/status/968667422713569280,'968748465223290880,28/2/18 07:23,Scrumpy,@FlatEarthCity @NASA @fabe147gta @Space_Station Painful,Painful,7,0,0,impolite,-1,78%
https://twitter.com/NASA/status/970075694821789696,'970123097482305537,4/3/18 02:25,Judy Nelson,@NASA @NASAEarth @NASA_ICE Scarey!,Scarey!,7,0,0,neutral,0,92%
https://twitter.com/NASA/status/970075694821789696,'970176444386152448,4/3/18 05:57,GreenRecyclingSol460,@NASA @NASAEarth @NASA_ICE So cool,So cool,7,50,0,impolite,-1,68%
https://twitter.com/NASA/status/970075694821789696,'980553544460914688,1/4/18 21:12,VIVIAN,@NASA @NASAEarth @NASA_ICE THANK U,THANK U,7,50,0,polite,1,62%
https://twitter.com/NASA/status/970332801269673984,'970333230921666560,4/3/18 16:20,Raheel Mohamed,@NASA @chandraxray Awesome,Awesome,7,100,0,neutral,0,97%
